AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
axis mutual fund,Axis Short Term Reg-G,4,0,0.69%,28.88,7.67%,5.62%,Rs.1000.0,Devang Shah,9120.74 cr,Debt,Moderate
axis mutual fund,Axis Liquid Reg-G,5,5,0.57%,2751.49,7.37%,6.04%,Rs.500.0,Devang Shah,28808.1 cr,Debt,Moderate
axis mutual fund,Axis Liquid Ret-G,4,0,0.53%,2529.52,6.84%,5.51%,Rs.500.0,Devang Shah,28808.1 cr,Debt,Moderate
axis mutual fund,Axis Treasury Advantage Ret-G,4,0,0.57%,2726.6,7.34%,5.88%,Rs.5000.0,Devang Shah,5599.1 cr,Debt,Low to Moderate
axis mutual fund,Axis Short Term Ret-G,4,0,0.69%,28.54,7.63%,5.61%,Rs.5000.0,Devang Shah,9120.74 cr,Debt,Moderate
kotak mahindra mutual fund,Kotak Special Opportunities Reg-G,0,0,8.19%,10.61,0,0,Rs.100.0,Devender Singhal,2394.67 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Nifty Next 50 Index Reg-G,0,4,5.33%,21.43,64.66%,20.85%,Rs.100.0,Devender Singhal,340.81 cr,Other,Low 
union mutual fund,Union Overnight Reg-G,0,3,0.53%,1291.67,6.71%,5.59%,Rs.500.0,Devesh Thacker,245.45 cr,Debt,Low
union mutual fund,Union Arbitrage Reg-G,0,2,0.54%,13.34,7.66%,5.74%,Rs.500.0,Devesh Thacker,249.28 cr,Hybrid,Low
icici prudential mutual fund,ICICI Pru India Equity FOF-G,0,5,4.43%,30.87,47.26%,24.44%,Rs.100.0,Dharmesh Kakkad,146.3 cr,Other,Moderate 
aditya birla sun life mutual fund,Aditya Birla SL Dividend Yield Reg-G,3,0,3.97%,484.99,50.34%,24.82%,Rs.100.0,Dhaval Gala,1600.43 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL Transportation and Logistics,0,0,4.92%,15.36,0,0,Rs.100.0,Dhaval Gala,1666.31 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL Banking & Financial Servi,4,3,7.29%,57.83,20.43%,14.07%,Rs.100.0,Dhaval Gala,3270.54 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL US Treasury 3-10 year Bond ET,0,0,1.76%,11.11,0,0,Rs.100.0,Dhaval Joshi,196.56 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL Global Excellence Equity FoF,1,0,3.80%,31.7,28.67%,9.34%,Rs.100.0,Dhaval Joshi,201.83 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL Global Emerging Opportunities,4,0,3.36%,24.17,22.30%,4.63%,Rs.100.0,Dhaval Joshi,240.39 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL US Treasury 1-3 year Bond ETF,0,0,0.98%,10.68,0,0,Rs.100.0,Dhaval Joshi,84.25 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL Comd Equities-Global Agri-G,0,0,0,35.79,0,0,Rs.1000.0,Dhaval Joshi,13.04 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL International Equity Reg-G,2,0,5.80%,35.33,16.19%,4.71%,Rs.1000.0,Dhaval Joshi,191.83 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL NASDAQ 100 FOF Reg-G,0,0,4.06%,13.32,26.67%,0,Rs.500.0,Dhaval Joshi,381.67 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL Multi Asset Allocation Reg-G,0,0,4.59%,14.11,25.55%,0,Rs.100.0,Dhaval Shah,3582.33 cr,Hybrid,Very High
aditya birla sun life mutual fund,Aditya Birla SL Equity Savings Reg-G,2,1,1.55%,20.9,10.99%,5.97%,Rs.100.0,Dhaval Shah,602.26 cr,Hybrid,Moderate
aditya birla sun life mutual fund,Aditya Birla SL Pharma & Healthcare Reg-G,0,2,5.37%,32.38,54.04%,17.62%,Rs.100.0,Dhaval Shah,862.61 cr,Equity,Moderately High 
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 40s Plan Reg,0,1,5.04%,18.43,26.54%,11.64%,Rs.500.0,Dhaval Shah,115.48 cr,Other,Very High
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 50s Plus - D,0,0,0.62%,12.57,6.26%,3.68%,Rs.500.0,Dhaval Shah,15.96 cr,Other,Moderate
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 50s Plan Reg,0,1,2.13%,14.01,12.71%,6.88%,Rs.500.0,Dhaval Shah,26.64 cr,Other,Moderately High
aditya birla sun life mutual fund,Aditya Birla SL Retirement - The 30s Plan Reg,0,1,6.06%,20.05,33.13%,14.06%,Rs.500.0,Dhaval Shah,409.59 cr,Other,Very High
edelweiss mutual fund,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Apri,0,0,1.13%,11.97,9.79%,0,Rs.100.0,Dhawal Dalal,1000.46 cr,Other,Moderate
edelweiss mutual fund,Edelweiss Multi Asset Allocation Reg-G,0,0,0.56%,10.93,7.47%,0,Rs.100.0,Dhawal Dalal,1052.44 cr,Hybrid,Low
edelweiss mutual fund,Edelweiss Arbitrage Reg-G,0,4,0.52%,18.38,7.68%,6.06%,Rs.100.0,Dhawal Dalal,12304.73 cr,Hybrid,Low
edelweiss mutual fund,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep,0,0,0.76%,11.57,8.41%,0,Rs.100.0,Dhawal Dalal,177.13 cr,Other,Moderate
edelweiss mutual fund,Edelweiss Aggressive Hybrid B-G,4,0,4.34%,62.2,33.94%,18.94%,Rs.100.0,Dhawal Dalal,2077.12 cr,Hybrid,Moderate 
edelweiss mutual fund,Edelweiss Aggressive Hybrid Reg-G,4,5,4.35%,62.86,33.94%,18.82%,Rs.100.0,Dhawal Dalal,2077.12 cr,Hybrid,Moderate 
edelweiss mutual fund,BHARAT Bond ETF FOF - April 2033 Reg-G,0,0,1.13%,11.54,9.24%,0,Rs.100.0,Dhawal Dalal,2209.06 cr,Other,Moderate
edelweiss mutual fund,Edelweiss Banking and PSU Debt Reg-G,5,2,0.96%,23.1,7.92%,5.40%,Rs.100.0,Dhawal Dalal,271.35 cr,Debt,Moderate
edelweiss mutual fund,Edelweiss NIFTY PSU Bond Plus SDL Apr 2027 50,0,0,0.64%,11.62,7.80%,0,Rs.100.0,Dhawal Dalal,3036.07 cr,Other,Low to Moderate
edelweiss mutual fund,BHARAT Bond ETF FOF - April 2032 Reg-G,0,0,1.44%,11.8,9.28%,0,Rs.100.0,Dhawal Dalal,4457.03 cr,Other,Moderate
edelweiss mutual fund,BHARAT Bond FOF - April 2031 Reg-G,0,0,0.93%,12.56,8.65%,6.10%,Rs.100.0,Dhawal Dalal,4566.48 cr,Other,Moderate
edelweiss mutual fund,BHARAT Bond FOF - April 2025 Reg-G,0,0,0.67%,12.33,7.32%,5.01%,Rs.100.0,Dhawal Dalal,4694.35 cr,Other,Low to Moderate
edelweiss mutual fund,Edelweiss Equity Savings Reg-G,3,4,2.37%,23.97,17.28%,9.55%,Rs.100.0,Dhawal Dalal,471.71 cr,Hybrid,Moderate
edelweiss mutual fund,BHARAT Bond FOF - April 2030 Reg-G,0,0,0.05%,14.04,8.26%,6.20%,Rs.100.0,Dhawal Dalal,6830.84 cr,Other,Moderate
edelweiss mutual fund,Edelweiss Money Market Inst-G,4,0,0.54%,23,6.78%,5.18%,Rs.100.0,Dhawal Dalal,721.74 cr,Debt,Low to Moderate
edelweiss mutual fund,Edelweiss Money Market Reg-G,3,2,0.54%,26.88,6.79%,5.18%,Rs.100.0,Dhawal Dalal,721.74 cr,Debt,Low to Moderate
edelweiss mutual fund,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025,0,0,0.55%,11.43,7.31%,0,Rs.100.0,Dhawal Dalal,837.63 cr,Other,Low to Moderate
edelweiss mutual fund,Edelweiss NIFTY PSU Bond Plus SDL Apr 2026 50,0,0,0.57%,12.2,7.41%,5.11%,Rs.100.0,Dhawal Dalal,9284.4 cr,Other,Low to Moderate
edelweiss mutual fund,Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June,0,0,0.64%,11.53,8.02%,0,Rs.100.0,Dhawal Dalal,94.83 cr,Other,Low to Moderate
edelweiss mutual fund,BHARAT Bond FOF - April 2023 Reg-G,0,0,0,12.31,0,0,Rs.500.0,Dhawal Dalal,3196.3 cr,Other,Low
samco mutual fund,Samco Special Opportunities Reg-G,0,0,2.71%,10.23,0,0,Rs.500.0,Dhawal Ghanshyam Dhanani,200.83 cr,Equity,Very High
samco mutual fund,Samco Overnight Reg-G,0,0,0.50%,1125.69,6.41%,0,Rs.500.0,Dhawal Ghanshyam Dhanani,69.57 cr,Debt,Low
samco mutual fund,Samco Active Momentum Reg-G,0,0,2.65%,15.12,45.38%,0,Rs.500.0,Dhawal Ghanshyam Dhanani,891.7 cr,Equity,Very High
invesco mutual fund,Invesco India Financial Services-G,5,4,6.91%,127.93,38.72%,17.08%,Rs.100.0,Dhimant Kothari,978.28 cr,Equity,High 
invesco mutual fund,Invesco India PSU Equity-G,1,0,0.02%,65.98,70.84%,35.82%,Rs.500.0,Dhimant Kothari,1593.41 cr,Equity,Very High
nippon india mutual fund,Nippon India Hybrid Bond-G,2,2,1.19%,54.34,9.64%,7.86%,Rs.100.0,Dhrumil Shah,825.74 cr,Hybrid,High
bank of india mutual fund,Bank of India Small Cap Reg-G,4,4,8.16%,50.66,52.18%,26.47%,Rs.1000.0,Dhruv Bhatia,1422.3 cr,Equity,Very High 
bank of india mutual fund,Bank of India Bluechip Reg-G,2,2,3.83%,16.8,38.84%,14.70%,Rs.1000.0,Dhruv Bhatia,191.89 cr,Equity,Very High
hdfc mutual fund,HDFC Pharma And Healthcare Reg-G,0,0,8.08%,16.24,0,0,Rs.100.0,Dhruv Muchhal,1169.59 cr,Equity,Very High
hdfc mutual fund,HDFC Technology Reg-G,0,0,10.13%,14.59,45.10%,0,Rs.100.0,Dhruv Muchhal,1319.94 cr,Equity,Very High
hdfc mutual fund,HDFC Manufacturing Reg-G,0,0,3.61%,11.21,0,0,Rs.100.0,Dhruv Muchhal,13278.18 cr,Equity,Very High
sbi mutual fund,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index R,0,0,0.61%,11.51,7.65%,0,Rs.500.0,Dinesh Ahuja,10234.51 cr,Other,Low to Moderate
sbi mutual fund,SBI CRISIL IBX SDL Index - September 2027 Reg,0,0,0.69%,11.54,8.35%,0,Rs.500.0,Dinesh Ahuja,1096.0 cr,Other,Low to Moderate
sbi mutual fund,SBI Retirement Benefit - Aggressive Hybrid Pl,0,4,3.69%,19.26,25.14%,16.61%,Rs.500.0,Dinesh Ahuja,1544.6 cr,Other,Moderate 
sbi mutual fund,SBI Magnum Constant Maturity-G,4,0,1.20%,59.69,9.32%,5.49%,Rs.500.0,Dinesh Ahuja,1658.12 cr,Debt,Moderate
sbi mutual fund,SBI Retirement Benefit - Conservative Plan Re,0,3,1.80%,13.73,12.31%,8.75%,Rs.500.0,Dinesh Ahuja,177.88 cr,Other,Moderately High
sbi mutual fund,SBI Magnum Income-G,5,4,0.97%,66.67,8.20%,5.70%,Rs.500.0,Dinesh Ahuja,1792.09 cr,Debt,Moderately High
sbi mutual fund,SBI CRISIL IBX Gilt Index - April 2029 Reg-G,0,0,0.92%,11.68,8.82%,0,Rs.500.0,Dinesh Ahuja,2184.37 cr,Other,Moderate
sbi mutual fund,SBI CRISIL IBX Gilt Index - June 2036 Reg-G,0,0,1.21%,11.95,10.30%,0,Rs.500.0,Dinesh Ahuja,2512.77 cr,Other,Moderate
sbi mutual fund,SBI Retirement Benefit - Aggressive Plan Reg-,0,4,4.23%,20.96,28.41%,18.79%,Rs.500.0,Dinesh Ahuja,2763.33 cr,Other,Moderate 
sbi mutual fund,SBI Retirement Benefit Fund - Conservative Hy,0,4,2.35%,15.28,16.22%,11.05%,Rs.500.0,Dinesh Ahuja,277.15 cr,Other,High
sbi mutual fund,SBI Dynamic Bond-G,4,4,1.22%,33.87,9.05%,6.37%,Rs.500.0,Dinesh Ahuja,3195.85 cr,Debt,Moderate
sbi mutual fund,SBI Balanced Advantage Reg-G,4,0,1.39%,14.9,22.39%,13.88%,Rs.500.0,Dinesh Ahuja,32440.91 cr,Hybrid,Moderately High
sbi mutual fund,SBI Magnum Medium Duration-G,4,4,0.84%,47.99,7.84%,5.82%,Rs.500.0,Dinesh Ahuja,6195.4 cr,Debt,Moderately High
sbi mutual fund,SBI Magnum Gilt-G,5,5,1.28%,62.75,9.73%,6.73%,Rs.500.0,Dinesh Ahuja,9500.76 cr,Debt,Moderate
sbi mutual fund,SBI Magnum Gilt PF Fixed 3Y-G,5,0,1.28%,37.64,9.73%,6.73%,Rs.5000.0,Dinesh Ahuja,9500.76 cr,Debt,Moderate
sbi mutual fund,SBI Magnum Gilt PF-G,5,0,1.28%,40.28,9.73%,6.73%,Rs.5000.0,Dinesh Ahuja,9500.76 cr,Debt,Moderate
sbi mutual fund,SBI Long Term Equity Reg-G,5,5,4.03%,449.6,53.05%,27.28%,Rs.500.0,Dinesh Balachandran,28000.03 cr,Equity,Moderate 
sbi mutual fund,SBI Contra-G,2,5,2.44%,398.91,43.16%,27.84%,Rs.500.0,Dinesh Balachandran,39432.5 cr,Equity,High 
sbi mutual fund,SBI Multi Asset Allocation-G,4,4,3.72%,56.47,25.52%,15.27%,Rs.500.0,Dinesh Balachandran,5865.8 cr,Hybrid,Very High
sundaram mutual fund,Sundaram Medium Duration Inst-G,0,0,0.71%,74.08,6.40%,3.61%,0,Dwijendra Srivastava,43.05 cr,Debt,Moderate
sundaram mutual fund,Sundaram Business Cycle Reg-G,0,0,6.52%,10.83,0,0,Rs.100.0,Dwijendra Srivastava,1404.3 cr,Equity,Very High
sundaram mutual fund,Sundaram Multi Asset Allocation Reg-G,0,0,4.27%,11.58,0,0,Rs.100.0,Dwijendra Srivastava,2378.07 cr,Hybrid,High
sundaram mutual fund,Sundaram Equity Savings-G,4,3,2.99%,68.26,18.77%,11.17%,Rs.100.0,Dwijendra Srivastava,926.21 cr,Hybrid,Moderate
sundaram mutual fund,Sundaram Ultra Short Duration Reg-G,3,2,0.50%,2552.57,6.28%,4.96%,Rs.1000.0,Dwijendra Srivastava,1908.67 cr,Debt,Low to Moderate
sundaram mutual fund,Sundaram Money Market Reg-G,3,3,0.59%,14.11,7.37%,5.95%,Rs.1000.0,Dwijendra Srivastava,229.86 cr,Debt,Low to Moderate
sundaram mutual fund,Sundaram Conservative Hybrid-G,3,3,2.17%,28.8,11.53%,9.11%,Rs.1000.0,Dwijendra Srivastava,27.24 cr,Hybrid,Moderately High
sundaram mutual fund,Sundaram Banking & PSU Ret-G,3,0,0,35.62,0,0,Rs.1000.0,Dwijendra Srivastava,328.7 cr,Debt,Moderate
sundaram mutual fund,Sundaram Banking & PSU Reg-G,4,3,0.82%,40.34,7.85%,5.42%,Rs.1000.0,Dwijendra Srivastava,332.74 cr,Debt,Moderate
sundaram mutual fund,SundaramLow Duration-G,2,5,0.79%,3269.15,7.13%,8.13%,Rs.1000.0,Dwijendra Srivastava,337.07 cr,Debt,Moderate
sundaram mutual fund,Sundaram Medium Duration Reg-G,0,0,0.71%,65.56,6.40%,3.62%,Rs.1000.0,Dwijendra Srivastava,43.05 cr,Debt,Moderate
sundaram mutual fund,Sundaram Liquid-G,1,3,0.57%,2181.72,7.30%,5.98%,Rs.1000.0,Dwijendra Srivastava,5396.04 cr,Debt,Low to Moderate
sundaram mutual fund,Sundaram Short Duration-G,3,5,1.07%,41.63,7.89%,8.05%,Rs.250.0,Dwijendra Srivastava,182.37 cr,Debt,Moderate
sundaram mutual fund,Sundaram Overnight Reg-G,0,3,0.53%,1303.2,6.68%,5.58%,Rs.250.0,Dwijendra Srivastava,660.33 cr,Debt,Low
sundaram mutual fund,Sundaram Corporate Bond Reg-G,4,3,0.85%,37.63,7.78%,5.41%,Rs.250.0,Dwijendra Srivastava,712.18 cr,Debt,Moderate
sundaram mutual fund,Sundaram Arbitrage Reg-G,0,1,0.49%,13.73,7.24%,5.29%,Rs.500.0,Dwijendra Srivastava,158.29 cr,Hybrid,Low
mirae asset mutual fund,Mirae Asset Nifty 100 ESG Sector Leaders FoF,0,0,5.50%,18.82,30.87%,12.28%,Rs.500.0,Ekta Gala,108.36 cr,Other,Very High
mirae asset mutual fund,Mirae Asset Nifty India Manufacturing ETF FoF,0,0,3.82%,19.13,52.92%,0,Rs.500.0,Ekta Gala,116.91 cr,Other,Very High
mirae asset mutual fund,Mirae Asset Nifty 200 Alpha 30 ETF FoF Reg-G,0,0,2.59%,10.15,0,0,Rs.500.0,Ekta Gala,168.68 cr,Other,Very High
mirae asset mutual fund,Mirae Asset Nifty Smallcap 250 Momentum Quali,0,0,5.49%,11.94,0,0,Rs.500.0,Ekta Gala,179.44 cr,Other,Very High
mirae asset mutual fund,Mirae Asset Nifty MidSmallcap400 Momentum Qua,0,0,3.29%,11.02,0,0,Rs.500.0,Ekta Gala,180.78 cr,Other,Very High
mirae asset mutual fund,Mirae Asset NYSE FANG+ ETF FoF Reg-G,0,0,1.34%,19.79,44.76%,19.06%,Rs.5000.0,Ekta Gala,1474.85 cr,Other,High 
mirae asset mutual fund,Mirae Asset S&P 500 Top 50 ETF FoF Reg-G,0,0,1.45%,15.32,28.49%,0,Rs.5000.0,Ekta Gala,531.46 cr,Other,Very High
mirae asset mutual fund,Mirae Asset Hang Seng TECH ETF FoF Reg-G,0,0,1.01%,6.83,9.45%,0,Rs.5000.0,Ekta Gala,66.94 cr,Other,Very High
mahindra manulife mutual fund,Mahindra Manulife Flexi Cap Reg-G,0,3,5.50%,16.78,34.82%,18.63%,Rs.500.0,Fatema Pacha,1491.53 cr,Equity,Very High
mahindra manulife mutual fund,Mahindra Manulife Multi Cap Reg-G,4,0,5.86%,36.73,44.23%,22.48%,Rs.500.0,Fatema Pacha,4686.16 cr,Equity,High 
mirae asset mutual fund,Mirae Asset Large Cap Reg-G,3,2,6.10%,114.06,27.32%,13.19%,Rs.500.0,Gaurav Khandelwal,41592.92 cr,Equity,Very High
mirae asset mutual fund,Mirae Asset Banking and Financial Services Re,3,4,5.83%,18.99,21.06%,14.86%,Rs.500.0,Gaurav Kochar,1821.94 cr,Equity,Very High
mirae asset mutual fund,Mirae Asset Focused Reg-G,2,1,8.97%,26.21,24.98%,10.54%,Rs.500.0,Gaurav Misra,8413.24 cr,Equity,Very High
hsbc mutual fund,HSBC Consumption Reg-G,0,0,10.56%,15.19,51.36%,0,Rs.500.0,Gautam Bhupal,1541.65 cr,Equity,Very High
hsbc mutual fund,HSBC Managed Solutions India Conservative Reg,3,2,1.20%,20.62,10.45%,5.84%,Rs.500.0,Gautam Bhupal,25.33 cr,Other,Moderately High
hsbc mutual fund,HSBC Tax Saver Equity-G,2,0,7.07%,92.52,42.45%,18.83%,Rs.500.0,Gautam Bhupal,256.46 cr,Equity,Moderate 
hsbc mutual fund,HSBC ELSS Tax saver-G,3,3,6.09%,137.19,48.28%,19.51%,Rs.500.0,Gautam Bhupal,4421.31 cr,Equity,Moderate 
hsbc mutual fund,HSBC Managed Solutions India Growth Reg-G,4,3,3.93%,40.69,30.70%,14.99%,Rs.500.0,Gautam Bhupal,45.54 cr,Other,Very High
hsbc mutual fund,HSBC Managed Solutions IndiaModerate Reg-G,3,2,3.32%,35.14,25.93%,12.90%,Rs.500.0,Gautam Bhupal,60.65 cr,Other,High
bandhan mutual fund,Bandhan Long Duration Reg-G,0,0,1.69%,10.59,0,0,Rs.100.0,Gautam Kaul,135.99 cr,Debt,Moderate
bandhan mutual fund,Bandhan CRISIL IBX 90:10 SDL Plus Gilt-Septem,0,0,0.70%,11.42,8.33%,0,Rs.100.0,Gautam Kaul,167.26 cr,Other,Low to Moderate
bandhan mutual fund,Bandhan Multi Asset Allocation Reg-G,0,0,4.37%,11.78,0,0,Rs.100.0,Gautam Kaul,1727.88 cr,Hybrid,Very High
bandhan mutual fund,Bandhan Retirement Fund Reg-G,0,0,3.31%,12.46,0,0,Rs.100.0,Gautam Kaul,176.2 cr,Other,Very High
bandhan mutual fund,Bandhan Credit Risk Reg-G,3,2,0.67%,15.5,7.09%,4.96%,Rs.100.0,Gautam Kaul,330.45 cr,Debt,Moderately High
bandhan mutual fund,Bandhan Crisil IBX Gilt April 2026 Index Reg-,0,0,0.61%,11.47,7.56%,0,Rs.100.0,Gautam Kaul,488.12 cr,Other,Low to Moderate
bandhan mutual fund,Bandhan CRISIL IBX Gilt April 2028 Index Reg-,0,0,0.76%,12.15,8.18%,5.33%,Rs.100.0,Gautam Kaul,4940.2 cr,Other,Low to Moderate
bandhan mutual fund,Bandhan Money Manager Reg-G,3,2,0.57%,37.95,6.86%,5.48%,Rs.100.0,Gautam Kaul,7518.29 cr,Debt,Low to Moderate
bandhan mutual fund,Bandhan CRISIL IBX Gilt June 2027 Index Reg-G,0,0,0.68%,12.09,8.01%,5.21%,Rs.100.0,Gautam Kaul,8296.29 cr,Other,Low to Moderate
hdfc mutual fund,HDFC Multi Cap Reg-G,0,0,5.91%,19.87,44.38%,0,Rs.100.0,Gopal Agrawal,17185.76 cr,Equity,Very High
hdfc mutual fund,HDFC Large and Mid Cap Reg-G,3,4,5.81%,350.62,42.96%,24.92%,Rs.100.0,Gopal Agrawal,23712.31 cr,Equity,Very High
hdfc mutual fund,HDFC Dividend Yield Reg-G,0,0,5.25%,26.47,41.74%,24.54%,Rs.100.0,Gopal Agrawal,6202.55 cr,Equity,Low toModerate 
hdfc mutual fund,HDFC Capital Builder Value-G,2,2,6.25%,755.05,45.05%,21.33%,Rs.100.0,Gopal Agrawal,7733.37 cr,Equity,Moderate 
union mutual fund,Union Business Cycle Reg-G,0,0,4.87%,11.85,0,0,Rs.500.0,Hardick Bora,559.77 cr,Equity,Very High
union mutual fund,Union Innovation & Opportunities Reg-G,0,0,7.91%,14.32,44.06%,0,Rs.500.0,Hardick Bora,824.31 cr,Equity,Very High
axis mutual fund,Axis CRISIL IBX SDL June 2034 Debt Index Reg-,0,0,0.95%,10.5,0,0,Rs.1000.0,Hardik Shah,21.71 cr,Other,Moderate
axis mutual fund,Axis CRISIL IBX SDL May 2027 Index Reg-G,0,0,0.62%,11.5,8.26%,0,Rs.1000.0,Hardik Shah,2217.22 cr,Other,Low to Moderate
taurus mutual fund,Taurus Banking & Financial Services Reg-G,3,3,3.87%,50.96,19.34%,13.95%,Rs.500.0,Hardik Shah,11.09 cr,Equity,Very High
taurus mutual fund,Taurus Mid Cap Reg-G,3,2,4.46%,131.5,35.18%,21.58%,Rs.500.0,Hardik Shah,140.33 cr,Equity,High 
icici prudential mutual fund,ICICI Pru Transportation and Logistics-G,0,0,3.35%,19.46,57.57%,0,Rs.100.0,Harish Bihani,3282.87 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Infrastructure and Economic Reform Stan,3,5,5.19%,71.54,54.56%,31.10%,Rs.100.0,Harish Krishnan,2446.66 cr,Equity,High 
kotak mahindra mutual fund,Kotak Pioneer Reg-G,0,0,5.95%,30.95,44.36%,19%,Rs.100.0,Harish Krishnan,2719.66 cr,Equity,High 
kotak mahindra mutual fund,Kotak Bluechip Reg-G,4,4,5.17%,579.34,33.76%,15.42%,Rs.100.0,Harish Krishnan,9465.07 cr,Equity,Very High
aditya birla sun life mutual fund,Aditya Birla SL Quant Reg-G,0,0,4.33%,10.37,0,0,Rs.500.0,Harish Krishnan,2710.88 cr,Equity,Very High
sbi mutual fund,SBI Nifty Smallcap 250 Index Reg-G,0,0,7.80%,19.98,51.91%,0,Rs.500.0,Harsh Sethi,1087.34 cr,Other,Very High
sbi mutual fund,SBI Silver ETF FoF Reg-G,0,0,7.45%,9.39,0,0,Rs.500.0,Harsh Sethi,268.48 cr,Other,Very High
sbi mutual fund,SBI Nifty Midcap 150 Index Reg-G,0,0,5.43%,19.05,46.66%,0,Rs.500.0,Harsh Sethi,626.67 cr,Other,Very High
kotak mahindra mutual fund,Kotak ESG Exclusionary Strategy Reg-G,0,0,6.32%,17.84,32.94%,12.64%,Rs.100.0,Harsha Upadhyaya,1008.12 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Equity Opportunities Reg-G,4,4,4.87%,348.69,41.71%,21.08%,Rs.100.0,Harsha Upadhyaya,25292.75 cr,Equity,Moderately High 
kotak mahindra mutual fund,Kotak Flexicap Reg-G,0,3,4.63%,83.97,34.46%,16.57%,Rs.100.0,Harsha Upadhyaya,52955.61 cr,Equity,Moderate 
kotak mahindra mutual fund,Kotak ELSS Tax Saver Reg-G,4,4,4.68%,120.49,37.06%,19.47%,Rs.500.0,Harsha Upadhyaya,6297.77 cr,Equity,Moderate 
bandhan mutual fund,Bandhan Liquid Reg-G,5,3,0.57%,2987.56,7.29%,5.97%,Rs.100.0,Harshal Joshi,12792.36 cr,Debt,Low to Moderate
bandhan mutual fund,Bandhan All Seasons Bond Reg-G,4,3,0.78%,41.11,7.76%,5.39%,Rs.100.0,Harshal Joshi,162.25 cr,Other,Moderate
bandhan mutual fund,Bandhan Multi Cap Reg-G,0,0,6.07%,17.89,41.48%,0,Rs.100.0,Harshal Joshi,2488.34 cr,Equity,Very High
bandhan mutual fund,Bandhan US Equity FoF Reg-G,0,0,3.89%,14.09,32.61%,12.01%,Rs.100.0,Harshal Joshi,315.01 cr,Other,Very High
bandhan mutual fund,Bandhan GSF Constant Maturity Reg-G,4,0,1.20%,42.72,9.88%,5.24%,Rs.100.0,Harshal Joshi,339.7 cr,Debt,Moderate
bandhan mutual fund,Bandhan Ultra Short Term Reg-G,4,3,0.57%,14.36,7.26%,5.85%,Rs.100.0,Harshal Joshi,3686.68 cr,Debt,Low to Moderate
bandhan mutual fund,BandhanLow Duration Reg-G,4,3,0.56%,36.33,7.16%,5.65%,Rs.100.0,Harshal Joshi,5868.0 cr,Debt,Low to Moderate
bandhan mutual fund,Bandhan Transportation and Logistics Reg-G,0,0,3.87%,18.87,53.14%,0,Rs.100.0,Harshal Joshi,595.09 cr,Equity,Very High
bandhan mutual fund,Bandhan Arbitrage Regular-G,2,3,0.54%,30.79,7.60%,5.89%,Rs.100.0,Harshal Joshi,6722.9 cr,Hybrid,Low
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX SDL Sep 2028 Index,0,0,0,0,0,0,Rs.500.0,Harshil Suvarnkar,0.0 cr,Other,Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX AAA - Jun 2023 Ind,0,0,0,10.69,0,0,Rs.500.0,Harshil Suvarnkar,2426.14 cr,Other,Low to Moderate
aditya birla sun life mutual fund,Aditya Birla SL CRISIL IBX Gilt -Apr 2029 Ind,0,0,0.93%,11.74,8.94%,0,Rs.500.0,Harshil Suvarnkar,696.2 cr,Other,Moderate
nippon india mutual fund,Nippon India Nifty 500 Equal Weight Index Reg,0,0,0,10.08,0,0,Rs.100.0,Himanshu Mange,0.0 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty Bank Index Reg-G,0,0,4.16%,11.1,0,0,Rs.100.0,Himanshu Mange,122.56 cr,Other,Very High
nippon india mutual fund,Nippon India Nifty IT Index Reg-G,0,0,10.84%,11.42,0,0,Rs.100.0,Himanshu Mange,142.24 cr,Other,Very High
kotak mahindra mutual fund,Kotak Equity Arbitrage Reg-G,4,5,0.54%,35.52,7.92%,6.23%,Rs.100.0,Hiten Shah,53423.15 cr,Hybrid,Low
axis mutual fund,Axis Nifty IT Index Reg-G,0,0,10.83%,14.61,33.28%,0,Rs.100.0,Hitesh Das,134.31 cr,Other,Very High
